id1,pharmacy1,id2,pharmacy2,distance,duration
0,Dépôt,0,Dépôt,0.0,0.0
0,Dépôt,1,Pharmacie A,4149.4,550.7
0,Dépôt,2,Pharmacie B,1409.4,179.0
0,Dépôt,3,Pharmacie C,2294.6,323.9
0,Dépôt,4,Pharmacie D,1390.1,155.2
0,Dépôt,5,Pharmacie E,1354.6,204.7
0,Dépôt,6,Pharmacie F,4209.2,588.0
0,Dépôt,7,Pharmacie G,4814.1,703.7
0,Dépôt,8,Pharmacie H,4267.7,690.2
0,Dépôt,9,Pharmacie I,3329.2,455.2
0,Dépôt,10,Pharmacie J,3484.2,437.4
1,Pharmacie A,0,Dépôt,2002.5,279.4
1,Pharmacie A,1,Pharmacie A,0.0,0.0
1,Pharmacie A,2,Pharmacie B,1476.1,175.6
1,Pharmacie A,3,Pharmacie C,2071.7,249.0
1,Pharmacie A,4,Pharmacie D,3281.1,419.4
1,Pharmacie A,5,Pharmacie E,3976.6,488.3
1,Pharmacie A,6,Pharmacie F,2805.5,338.3
1,Pharmacie A,7,Pharmacie G,2266.2,263.1
1,Pharmacie A,8,Pharmacie H,1242.0,197.5
1,Pharmacie A,9,Pharmacie I,2527.0,419.7
1,Pharmacie A,10,Pharmacie J,3328.2,414.3
2,Pharmacie B,0,Dépôt,4625.3,662.0
2,Pharmacie B,1,Pharmacie A,3568.8,484.9
2,Pharmacie B,2,Pharmacie B,0.0,0.0
2,Pharmacie B,3,Pharmacie C,2261.2,299.8
2,Pharmacie B,4,Pharmacie D,2158.8,297.5
2,Pharmacie B,5,Pharmacie E,3305.8,391.4
2,Pharmacie B,6,Pharmacie F,2536.1,317.3
2,Pharmacie B,7,Pharmacie G,3144.5,409.7
2,Pharmacie B,8,Pharmacie H,1835.2,267.7
2,Pharmacie B,9,Pharmacie I,3648.4,474.3
2,Pharmacie B,10,Pharmacie J,3654.2,530.0
3,Pharmacie C,0,Dépôt,1913.9,302.4
3,Pharmacie C,1,Pharmacie A,1764.6,264.7
3,Pharmacie C,2,Pharmacie B,4644.2,755.9
3,Pharmacie C,3,Pharmacie C,0.0,0.0
3,Pharmacie C,4,Pharmacie D,1202.8,168.4
3,Pharmacie C,5,Pharmacie E,4031.2,480.5
3,Pharmacie C,6,Pharmacie F,4012.8,526.6
3,Pharmacie C,7,Pharmacie G,2613.1,429.6
3,Pharmacie C,8,Pharmacie H,1285.9,172.9
3,Pharmacie C,9,Pharmacie I,4867.4,768.3
3,Pharmacie C,10,Pharmacie J,1977.7,299.9
4,Pharmacie D,0,Dépôt,4529.4,562.0
4,Pharmacie D,1,Pharmacie A,4703.5,596.3
4,Pharmacie D,2,Pharmacie B,3488.1,547.2
4,Pharmacie D,3,Pharmacie C,4981.7,772.1
4,Pharmacie D,4,Pharmacie D,0.0,0.0
4,Pharmacie D,5,Pharmacie E,2034.4,266.4
4,Pharmacie D,6,Pharmacie F,4916.7,762.8
4,Pharmacie D,7,Pharmacie G,1405.0,231.7
4,Pharmacie D,8,Pharmacie H,1837.1,301.2
4,Pharmacie D,9,Pharmacie I,4359.7,628.0
4,Pharmacie D,10,Pharmacie J,4321.3,567.2
